,Name,Political Affiliation at Appointment,Senatorial Designation / Province or Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason
138,"Campbell, Larry W.",Liberal Party of Canada,"British Columbia, British Columbia","Martin, Paul Edgar Philippe",2005.08.02 -,2005-08-02 00:00:00,,
139,"Cantley, Thomas",Conservative (1867-1942),"New Glasgow, Nova Scotia","Bennett, Richard Bedford",1935.07.20 - 1945.02.24  (Death),1935-07-20 00:00:00,1945-02-24 00:00:00,Death
140,"Carignan, Claude",Conservative Party of Canada,"Mille Isles, Quebec","Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,,
141,"Carling, John",Liberal-Conservative,"London, Ontario","Macdonald, John Alexander",1891.04.27 - 1892.02.17  (Resignation),1891-04-27 00:00:00,1892-02-17 00:00:00,Resignation
142,"Carling, John",Liberal-Conservative,"London, Ontario","Bowell, Mackenzie",1896.04.23 - 1911.11.06  (Death),1896-04-23 00:00:00,1911-11-06 00:00:00,Death
143,"Carmichael, James William",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Laurier, Wilfrid",1898.12.31 - 1903.04.24  (Resignation),1898-12-31 00:00:00,1903-04-24 00:00:00,Resignation
144,"Carney, Pat",Progressive Conservative Party,"British Columbia, British Columbia","Mulroney, Martin Brian",1990.08.30 - 2008.01.31  (Resignation),1990-08-30 00:00:00,2008-01-31 00:00:00,Resignation
145,"Carrall, Robert William Weir",Conservative (1867-1942),"British Columbia, British Columbia","Macdonald, John Alexander",1871.12.13 - 1879.09.19  (Death),1871-12-13 00:00:00,1879-09-19 00:00:00,Death
146,"Carstairs, Sharon",Liberal Party of Canada,"Manitoba, Manitoba","Chrétien, Joseph Jacques Jean",1994.09.15 - 2011.10.17  (Resignation),1994-09-15 00:00:00,2011-10-17 00:00:00,Resignation
147,"Carter, Chesley William",Liberal Party of Canada,"The Grand Banks, Newfoundland and Labrador","Pearson, Lester Bowles",1966.07.08 - 1977.07.28  (Retirement),1966-07-08 00:00:00,1977-07-28 00:00:00,Retirement
148,"Cartwright, Richard John",Liberal Party of Canada,"Oxford, Ontario","Laurier, Wilfrid",1904.09.30 - 1912.09.24  (Death),1904-09-30 00:00:00,1912-09-24 00:00:00,Death
149,"Carvell, Jedediah Slason",Conservative (1867-1942),"Charlottetown, Prince Edward Island","Macdonald, John Alexander",1879.12.18 - 1889.07.03  (Resignation),1879-12-18 00:00:00,1889-07-03 00:00:00,Resignation
150,"Casgrain, Charles Eusèbe",Conservative (1867-1942),"Windsor, Ontario","Macdonald, John Alexander",1887.01.12 - 1907.03.08  (Death),1887-01-12 00:00:00,1907-03-08 00:00:00,Death
151,"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,"De Lanaudière, Quebec","Laurier, Wilfrid",1900.01.29 - 1939.01.06  (Death),1900-01-29 00:00:00,1939-01-06 00:00:00,Death
152,"Casgrain, Thérèse Forget",Independent,"Mille Isles, Quebec","Trudeau, Pierre Elliott",1970.10.07 - 1971.07.10  (Retirement),1970-10-07 00:00:00,1971-07-10 00:00:00,Retirement
153,"Castonguay, Claude",Progressive Conservative Party,"Stadacona, Quebec","Mulroney, Martin Brian",1990.09.23 - 1992.12.09  (Resignation),1990-09-23 00:00:00,1992-12-09 00:00:00,Resignation
154,"Cauchon, Joseph Édouard",Independent Conservative,"Stadacona, Quebec",Royal Proclamation,1867.11.02 - 1872.06.30  (Resignation),1867-11-02 00:00:00,1872-06-30 00:00:00,Resignation
155,"Chaffers, William Henry",Liberal Party of Canada,"Rougemont, Quebec",Royal Proclamation,1867.10.23 - 1894.07.19  (Death),1867-10-23 00:00:00,1894-07-19 00:00:00,Death
156,"Chalifoux, Thelma",Liberal Party of Canada,"Alberta, Alberta","Chrétien, Joseph Jacques Jean",1997.11.26 - 2004.02.08  (Retirement),1997-11-26 00:00:00,2004-02-08 00:00:00,Retirement
157,"Champagne, Andrée",Conservative Party of Canada,"Grandville, Quebec","Martin, Paul Edgar Philippe",2005.08.02 - 2014.07.17  (Retirement),2005-08-02 00:00:00,2014-07-17 00:00:00,Retirement
158,"Chandler, Edward Barron",Liberal-Conservative,"New Brunswick, New Brunswick",Royal Proclamation,1867.10.23 - 1867.10.24  (Appointment declined),1867-10-23 00:00:00,1867-10-24 00:00:00,Appointment declined
159,"Chapais, Jean-Charles",Conservative (1867-1942),"De la Durantaye, Quebec","Macdonald, John Alexander",1868.01.30 - 1885.07.17  (Death),1868-01-30 00:00:00,1885-07-17 00:00:00,Death
160,"Chapais, Joseph Amable Thomas",Conservative (1867-1942),"Grandville, Quebec","Borden, Robert Laird",1919.12.31 - 1946.07.15  (Death),1919-12-31 00:00:00,1946-07-15 00:00:00,Death
161,"Chaput, Maria",Liberal Party of Canada,"Manitoba, Manitoba","Chrétien, Joseph Jacques Jean",2002.12.12 -,2002-12-12 00:00:00,,
162,"Chaput-Rolland, Solange",Progressive Conservative Party,"Mille Isles, Quebec","Mulroney, Martin Brian",1988.09.26 - 1994.05.14  (Retirement),1988-09-26 00:00:00,1994-05-14 00:00:00,Retirement
163,"Charbonneau, Guy",Progressive Conservative Party,"Kennebec, Quebec","Clark, Charles Joseph",1979.09.27 - 1997.06.21  (Retirement),1979-09-27 00:00:00,1997-06-21 00:00:00,Retirement
164,"Charette-Poulin, Marie-P.",Liberal Party of Canada,"Northern Ontario, Ontario","Chrétien, Joseph Jacques Jean",1995.09.21 -,1995-09-21 00:00:00,,
165,"Chauveau, Pierre-Joseph-Olivier",Conservative (1867-1942),"Stadacona, Quebec","Macdonald, John Alexander",1873.02.20 - 1874.01.08  (Resignation),1873-02-20 00:00:00,1874-01-08 00:00:00,Resignation
166,"Chevrier, Noé E.",Liberal Party of Canada,"Winnipeg, Manitoba","Laurier, Wilfrid",1909.01.18 - 1911.10.09  (Death),1909-01-18 00:00:00,1911-10-09 00:00:00,Death
167,"Chinic, Eugène",Conservative (1867-1942),"Gulf, Quebec","Macdonald, John Alexander",1873.04.10 - 1882.11.03  (Resignation),1873-04-10 00:00:00,1882-11-03 00:00:00,Resignation
168,"Choquette, Lionel Henri",Progressive Conservative Party,"Ottawa East, Ontario","Diefenbaker, John George",1958.01.31 - 1981.03.06  (Resignation),1958-01-31 00:00:00,1981-03-06 00:00:00,Resignation
169,"Choquette, Philippe Auguste",Liberal Party of Canada,"Grandville, Quebec","Laurier, Wilfrid",1904.09.30 - 1919.12.29  (Resignation),1904-09-30 00:00:00,1919-12-29 00:00:00,Resignation
170,"Christensen, Ione",Liberal Party of Canada,"Yukon, Yukon","Chrétien, Joseph Jacques Jean",1999.09.02 - 2006.12.31  (Resignation),1999-09-02 00:00:00,2006-12-31 00:00:00,Resignation
171,"Christie, David",Liberal Party of Canada,"Erie, Ontario",Royal Proclamation,1867.10.23 - 1880.12.15  (Death),1867-10-23 00:00:00,1880-12-15 00:00:00,Death
172,"Church, Charles Edward",Liberal Party of Canada,"Lunenburg, Nova Scotia","Laurier, Wilfrid",1902.02.08 - 1906.01.03  (Death),1902-02-08 00:00:00,1906-01-03 00:00:00,Death
173,"Churchill, Ezra",Liberal-Conservative,"Nova Scotia, Nova Scotia","Macdonald, John Alexander",1871.02.03 - 1874.05.08  (Death),1871-02-03 00:00:00,1874-05-08 00:00:00,Death
174,"Clemow, Francis",Conservative (1867-1942),"Rideau, Ontario","Macdonald, John Alexander",1885.02.03 - 1902.05.28  (Death),1885-02-03 00:00:00,1902-05-28 00:00:00,Death
175,"Cloran, Henry Joseph",Liberal Party of Canada,"Victoria, Quebec","Laurier, Wilfrid",1903.06.30 - 1928.02.08  (Death),1903-06-30 00:00:00,1928-02-08 00:00:00,Death
176,"Cochrane, Ethel M.",Progressive Conservative Party,"Newfoundland and Labrador, Newfoundland and Labrador","Mulroney, Martin Brian",1986.11.17 - 2012.09.23  (Retirement),1986-11-17 00:00:00,2012-09-23 00:00:00,Retirement
177,"Cochrane, Matthew Henry",Conservative (1867-1942),"Wellington, Quebec","Macdonald, John Alexander",1872.10.17 - 1903.08.12  (Death),1872-10-17 00:00:00,1903-08-12 00:00:00,Death
178,"Coffey, Thomas",Liberal Party of Canada,"London, Ontario","Laurier, Wilfrid",1903.03.12 - 1914.06.08  (Death),1903-03-12 00:00:00,1914-06-08 00:00:00,Death
179,"Cogger, Michel",Progressive Conservative Party,"Lauzon, Quebec","Mulroney, Martin Brian",1986.05.02 - 2000.09.01  (Resignation),1986-05-02 00:00:00,2000-09-01 00:00:00,Resignation
180,"Cohen, Erminie J.",Progressive Conservative Party,"Saint John, New Brunswick","Mulroney, Martin Brian",1993.06.04 - 2001.07.23  (Retirement),1993-06-04 00:00:00,2001-07-23 00:00:00,Retirement
181,"Comeau, Ambroise-Hilaire",Liberal Party of Canada,"Digby County, Nova Scotia","Laurier, Wilfrid",1907.01.15 - 1911.08.25  (Death),1907-01-15 00:00:00,1911-08-25 00:00:00,Death
182,"Comeau, Gerald J.",Progressive Conservative Party,"Nova Scotia, Nova Scotia","Mulroney, Martin Brian",1990.08.30 - 2013.11.30  (Resignation),1990-08-30 00:00:00,2013-11-30 00:00:00,Resignation
183,"Comeau, Joseph Willie",Liberal Party of Canada,"Clare, Nova Scotia","St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10  (Resignation),1948-12-01 00:00:00,1966-01-10 00:00:00,Resignation
184,"Connolly, Harold Joseph",Liberal Party of Canada,"Halifax North, Nova Scotia","St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14  (Resignation),1955-07-28 00:00:00,1979-05-14 00:00:00,Resignation
185,"Connolly, John Joseph",Liberal Party of Canada,"Ottawa West, Ontario","St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31  (Resignation),1953-06-12 00:00:00,1981-10-31 00:00:00,Resignation
186,"Cook, Eric",Liberal Party of Canada,"St. John's East, Newfoundland and Labrador","Pearson, Lester Bowles",1964.02.14 - 1984.07.26  (Resignation),1964-02-14 00:00:00,1984-07-26 00:00:00,Resignation
187,"Cook, Joan",Liberal Party of Canada,"Newfoundland and Labrador, Newfoundland and Labrador","Chrétien, Joseph Jacques Jean",1998.03.06 - 2009.10.06  (Retirement),1998-03-06 00:00:00,2009-10-06 00:00:00,Retirement
188,"Cools, Anne C.",Liberal Party of Canada,"Toronto Centre, Ontario","Trudeau, Pierre Elliott",1984.01.13 -,1984-01-13 00:00:00,,
189,"Copp, Arthur Bliss",Liberal Party of Canada,"Westmorland, New Brunswick","King, William Lyon Mackenzie",1925.09.25 - 1949.12.05  (Death),1925-09-25 00:00:00,1949-12-05 00:00:00,Death
190,"Corbin, Eymard G.",Liberal Party of Canada,"Grand-Sault, New Brunswick","Turner, John Napier",1984.07.09 - 2009.08.02  (Retirement),1984-07-09 00:00:00,2009-08-02 00:00:00,Retirement
191,"Corby, Henry",Conservative (1867-1942),"Belleville, Ontario","Borden, Robert Laird",1912.10.17 - 1917.04.23  (Death),1912-10-17 00:00:00,1917-04-23 00:00:00,Death
192,"Cordy, Jane",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Chrétien, Joseph Jacques Jean",2000.06.09 -,2000-06-09 00:00:00,,
193,"Cormier, Charles",Nationalist Liberal,"Kennebec, Quebec",Royal Proclamation,1867.10.23 - 1887.05.07  (Death),1867-10-23 00:00:00,1887-05-07 00:00:00,Death
194,"Cornwall, Clement Francis",Conservative (1867-1942),"Ashcroft, British Columbia","Macdonald, John Alexander",1871.12.13 - 1881.07.01  (Resignation),1871-12-13 00:00:00,1881-07-01 00:00:00,Resignation
195,"Costigan, John",Liberal Party of Canada,"Victoria, New Brunswick","Laurier, Wilfrid",1907.01.15 - 1916.09.29  (Death),1907-01-15 00:00:00,1916-09-29 00:00:00,Death
196,"Côté, Jean Léon",Liberal Party of Canada,"Edmonton, Alberta","King, William Lyon Mackenzie",1923.08.14 - 1924.09.23  (Death),1923-08-14 00:00:00,1924-09-23 00:00:00,Death
197,"Côté, Joseph Julien Jean-Pierre",Liberal Party of Canada,"Kennebec, Quebec","Trudeau, Pierre Elliott",1972.09.01 - 1978.04.20  (Resignation),1972-09-01 00:00:00,1978-04-20 00:00:00,Resignation
198,"Côté, Louis",Conservative (1867-1942),"Ottawa East, Ontario","Bennett, Richard Bedford",1933.12.30 - 1943.02.02  (Death),1933-12-30 00:00:00,1943-02-02 00:00:00,Death
199,"Cottreau, Ernest G.",Liberal Party of Canada,"South Western Nova, Nova Scotia","Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28  (Retirement),1974-05-08 00:00:00,1989-01-28 00:00:00,Retirement
200,"Courtemanche, Henri",Progressive Conservative Party,"Rougemont, Quebec","Diefenbaker, John George",1960.01.20 - 1961.12.22  (Resignation),1960-01-20 00:00:00,1961-12-22 00:00:00,Resignation
201,"Cowan, James S.",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Martin, Paul Edgar Philippe",2005.03.24 -,2005-03-24 00:00:00,,
202,"Cox, George Albertus",Liberal Party of Canada,"Saugeen, Ontario","Laurier, Wilfrid",1896.11.13 - 1914.01.16  (Death),1896-11-13 00:00:00,1914-01-16 00:00:00,Death
203,"Crawford, George",Conservative (1867-1942),"Ontario, Ontario",Royal Proclamation,1867.10.23 - 1870.07.04  (Death),1867-10-23 00:00:00,1870-07-04 00:00:00,Death
204,"Crerar, Thomas Alexander",Liberal Party of Canada,"Churchill, Manitoba","King, William Lyon Mackenzie",1945.04.18 - 1966.05.31  (Resignation),1945-04-18 00:00:00,1966-05-31 00:00:00,Resignation
205,"Croll, David Arnold",Liberal Party of Canada,"Toronto-Spadina, Ontario","St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11  (Death),1955-07-28 00:00:00,1991-06-11 00:00:00,Death
206,"Crosby, Adam Brown",Conservative (1867-1942),"Halifax, Nova Scotia","Borden, Robert Laird",1917.01.20 - 1921.03.10  (Death),1917-01-20 00:00:00,1921-03-10 00:00:00,Death
207,"Crothers, Thomas Wilson",Conservative (1867-1942),"Ontario, Ontario","Meighen, Arthur",1921.10.03 - 1921.12.10  (Death),1921-10-03 00:00:00,1921-12-10 00:00:00,Death
208,"Crowe, Sanford Johnston",Unionist (Liberal),"Burrard, British Columbia","Meighen, Arthur",1921.12.01 - 1931.08.23  (Death),1921-12-01 00:00:00,1931-08-23 00:00:00,Death
209,"Curry, Nathaniel",Conservative (1867-1942),"Amherst, Nova Scotia","Borden, Robert Laird",1912.11.20 - 1931.10.23  (Death),1912-11-20 00:00:00,1931-10-23 00:00:00,Death
210,"Curry, Rufus",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Laurier, Wilfrid",1903.03.12 - 1905.03.30  (Resignation),1903-03-12 00:00:00,1905-03-30 00:00:00,Resignation
211,"Dagenais, Jean-Guy",Conservative Party of Canada,"Victoria, Quebec","Harper, Stephen",2012.01.17 -,2012-01-17 00:00:00,,
212,"Daigle, Armand",Liberal Party of Canada,"Mille Isles, Quebec","King, William Lyon Mackenzie",1944.03.03 - 1957.03.08  (Death),1944-03-03 00:00:00,1957-03-08 00:00:00,Death
213,"Dallaire, Roméo A.",Liberal Party of Canada,"Gulf, Quebec","Martin, Paul Edgar Philippe",2005.03.24 - 2014.06.17  (Resignation),2005-03-24 00:00:00,2014-06-17 00:00:00,Resignation
214,"Dandurand, Raoul",Liberal Party of Canada,"De Lorimier, Quebec","Laurier, Wilfrid",1898.01.22 - 1942.03.11  (Death),1898-01-22 00:00:00,1942-03-11 00:00:00,Death
215,"Daniel, John Waterhouse",Conservative (1867-1942),"St. John City, New Brunswick","Borden, Robert Laird",1912.03.18 - 1933.01.11  (Death),1912-03-18 00:00:00,1933-01-11 00:00:00,Death
216,"Davey, Keith Douglas",Liberal Party of Canada,"York, Ontario","Pearson, Lester Bowles",1966.02.24 - 1996.07.01  (Resignation),1966-02-24 00:00:00,1996-07-01 00:00:00,Resignation
217,"David, Laurent-Olivier",Liberal Party of Canada,"Mille Isles, Quebec","Laurier, Wilfrid",1903.06.19 - 1926.08.24  (Death),1903-06-19 00:00:00,1926-08-24 00:00:00,Death
218,"David, Louis-Athanase",Liberal Party of Canada,"Saurel, Quebec","King, William Lyon Mackenzie",1940.02.09 - 1953.01.26  (Death),1940-02-09 00:00:00,1953-01-26 00:00:00,Death
219,"Landry, Joseph Gérard Lauri P.",Liberal Party of Canada,"Village of Cap-Pelé, New Brunswick","Chrétien, Joseph Jacques Jean",1996.02.26 - 1997.06.19  (Retirement),1996-02-26 00:00:00,1997-06-19 00:00:00,Retirement
220,"Lang, Daniel",Conservative Party of Canada,"Yukon, Yukon","Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,,
221,"Lang, Daniel Aiken",Liberal Party of Canada,"South York, Ontario","Pearson, Lester Bowles",1964.02.14 - 1994.06.13  (Resignation),1964-02-14 00:00:00,1994-06-13 00:00:00,Resignation
222,"Langlois, J. G. Léopold",Liberal Party of Canada,"Grandville, Quebec","Pearson, Lester Bowles",1966.07.08 - 1988.10.02  (Retirement),1966-07-08 00:00:00,1988-10-02 00:00:00,Retirement
223,"LaPierre, Laurier L.",Liberal Party of Canada,"Ontario, Ontario","Chrétien, Joseph Jacques Jean",2001.06.13 - 2004.11.21  (Retirement),2001-06-13 00:00:00,2004-11-21 00:00:00,Retirement
224,"Lapointe, Jean",Liberal Party of Canada,"Saurel, Quebec","Chrétien, Joseph Jacques Jean",2001.06.13 - 2010.12.06  (Retirement),2001-06-13 00:00:00,2010-12-06 00:00:00,Retirement
225,"Lapointe, Louise Marguerite Renaude",Liberal Party of Canada,"Mille Isles, Quebec","Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03  (Retirement),1971-11-10 00:00:00,1987-01-03 00:00:00,Retirement
226,"LaRivière, Alphonse Alfred Clément",Conservative (1867-1942),"Provencher, Manitoba","Borden, Robert Laird",1911.10.23 - 1917.09.01  (Resignation),1911-10-23 00:00:00,1917-09-01 00:00:00,Resignation
227,"Lavergne, Louis",Liberal Party of Canada,"Kennebec, Quebec","Laurier, Wilfrid",1910.10.13 - 1930.01.01  (Resignation),1910-10-13 00:00:00,1930-01-01 00:00:00,Resignation
228,"Lavigne, Raymond",Liberal Party of Canada,"Montarville, Quebec","Chrétien, Joseph Jacques Jean",2002.03.26 - 2011.03.21  (Resignation),2002-03-26 00:00:00,2011-03-21 00:00:00,Resignation
229,"Lavoie-Roux, Thérèse",Progressive Conservative Party,"Acadie, Quebec (Division)","Mulroney, Martin Brian",1990.09.27 - 2001.03.12  (Resignation),1990-09-27 00:00:00,2001-03-12 00:00:00,Resignation
230,"Lawson, Edward M.",Independent,"Vancouver, British Columbia","Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24  (Retirement),1970-10-07 00:00:00,2004-09-24 00:00:00,Retirement
231,"Le Moyne, Jean",Liberal Party of Canada,"Rigaud, Quebec","Trudeau, Pierre Elliott",1982.12.23 - 1988.02.17  (Retirement),1982-12-23 00:00:00,1988-02-17 00:00:00,Retirement
232,"Leblanc, Fernand-E.",Liberal Party of Canada,"Saurel, Quebec","Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01  (Retirement),1979-03-27 00:00:00,1992-07-01 00:00:00,Retirement
233,"LeBlanc, Roméo",Liberal Party of Canada,"Beauséjour, New Brunswick","Trudeau, Pierre Elliott",1984.06.29 - 1994.11.21  (Resignation),1984-06-29 00:00:00,1994-11-21 00:00:00,Resignation
234,"LeBreton, Marjory",Progressive Conservative Party,"Ontario, Ontario","Mulroney, Martin Brian",1993.06.18 -,1993-06-18 00:00:00,,
235,"Lefebvre, Thomas",Liberal Party of Canada,"De Lanaudière, Quebec","Turner, John Napier",1984.07.09 - 1992.11.20  (Death),1984-07-09 00:00:00,1992-11-20 00:00:00,Death
236,"Lefrançois, J.-Eugène",Liberal Party of Canada,"Repentigny, Quebec","St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05  (Resignation),1957-04-25 00:00:00,1976-11-05 00:00:00,Resignation
237,"Léger, Antoine Joseph",Conservative (1867-1942),"L'Acadie, New Brunswick","Bennett, Richard Bedford",1935.08.14 - 1950.04.07  (Death),1935-08-14 00:00:00,1950-04-07 00:00:00,Death
238,"Léger, Aurel D.",Liberal Party of Canada,"Kent, New Brunswick","St-Laurent, Louis Stephen",1953.06.12 - 1961.12.28  (Death),1953-06-12 00:00:00,1961-12-28 00:00:00,Death
239,"Léger, Viola",Liberal Party of Canada,"Acadie, New Brunswick","Chrétien, Joseph Jacques Jean",2001.06.13 - 2005.06.29  (Retirement),2001-06-13 00:00:00,2005-06-29 00:00:00,Retirement
240,"Legris, Joseph Hormisdas",Liberal Party of Canada,"Repentigny, Quebec","Laurier, Wilfrid",1903.02.10 - 1932.03.06  (Death),1903-02-10 00:00:00,1932-03-06 00:00:00,Death
241,"Lemieux, Rodolphe",Liberal Party of Canada,"Rougemont, Quebec","King, William Lyon Mackenzie",1930.06.03 - 1937.09.28  (Death),1930-06-03 00:00:00,1937-09-28 00:00:00,Death
242,"Leonard, Elijah",Liberal Party of Canada,"London, Ontario",Royal Proclamation,1867.10.23 - 1891.05.14  (Death),1867-10-23 00:00:00,1891-05-14 00:00:00,Death
243,"Leonard, Thomas D'Arcy",Liberal Party of Canada,"Toronto-Rosedale, Ontario","St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29  (Resignation),1955-07-28 00:00:00,1970-04-29 00:00:00,Resignation
244,"Lesage, Joseph Arthur",Liberal Party of Canada,"Gulf, Quebec","King, William Lyon Mackenzie",1944.03.03 - 1950.03.09  (Death),1944-03-03 00:00:00,1950-03-09 00:00:00,Death
245,"Leslie, James",Conservative (1867-1942),"Alma, Quebec",Royal Proclamation,1867.10.23 - 1873.12.06  (Death),1867-10-23 00:00:00,1873-12-06 00:00:00,Death
246,"L'Espérance, David Ovide",Conservative (1867-1942),"Gulf, Quebec","Borden, Robert Laird",1917.07.26 - 1941.08.31  (Death),1917-07-26 00:00:00,1941-08-31 00:00:00,Death
247,"Lessard, Prosper-Edmond",Liberal Party of Canada,"St. Paul, Alberta","King, William Lyon Mackenzie",1925.09.05 - 1931.04.11  (Death),1925-09-05 00:00:00,1931-04-11 00:00:00,Death
248,"Letellier de Saint-Just, Luc",Nationalist Liberal,"Grandville, Quebec",Royal Proclamation,1867.10.23 - 1876.12.14  (Resignation),1867-10-23 00:00:00,1876-12-14 00:00:00,Resignation
249,"Lewin, James Davies",Liberal Party of Canada,"St. John (Lancaster), New Brunswick","Mackenzie, Alexander",1876.11.10 - 1900.03.11  (Death),1876-11-10 00:00:00,1900-03-11 00:00:00,Death
250,"Lewis, John",Liberal Party of Canada,"East Toronto, Ontario","King, William Lyon Mackenzie",1925.09.05 - 1935.05.18  (Death),1925-09-05 00:00:00,1935-05-18 00:00:00,Death
251,"Lewis, Philip Derek",Liberal Party of Canada,"St. John's, Newfoundland and Labrador","Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28  (Retirement),1978-03-23 00:00:00,1999-11-28 00:00:00,Retirement
252,"Little, Edgar Sydney",Liberal Party of Canada,"London, Ontario","King, William Lyon Mackenzie",1928.01.10 - 1943.12.22  (Death),1928-01-10 00:00:00,1943-12-22 00:00:00,Death
253,"Locke, John",Liberal Party of Canada,"Nova Scotia, Nova Scotia",Royal Proclamation,1867.10.23 - 1873.12.12  (Death),1867-10-23 00:00:00,1873-12-12 00:00:00,Death
254,"Logan, Hance James",Liberal Party of Canada,"Cumberland, Nova Scotia","King, William Lyon Mackenzie",1929.02.05 - 1944.12.26  (Death),1929-02-05 00:00:00,1944-12-26 00:00:00,Death
255,"Losier-Cool, Rose-Marie",Liberal Party of Canada,"Tracadie, New Brunswick","Chrétien, Joseph Jacques Jean",1995.03.21 - 2012.06.18  (Retirement),1995-03-21 00:00:00,2012-06-18 00:00:00,Retirement
256,"Lougheed, James Alexander",Liberal-Conservative,"Calgary, Northwest Territories","Macdonald, John Alexander",1889.12.10 - 1925.11.02  (Death),1889-12-10 00:00:00,1925-11-02 00:00:00,Death
257,"Lovelace Nicholas, Sandra",Liberal Party of Canada,"New Brunswick, New Brunswick","Martin, Paul Edgar Philippe",2005.09.21 -,2005-09-21 00:00:00,,
258,"Lovitt, John",Liberal Party of Canada,"Yarmouth, Nova Scotia","Laurier, Wilfrid",1896.12.18 - 1908.04.13  (Death),1896-12-18 00:00:00,1908-04-13 00:00:00,Death
259,"Lucier, Paul",Liberal Party of Canada,"Yukon, Yukon","Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23  (Death),1975-10-23 00:00:00,1999-07-23 00:00:00,Death
260,"Lynch-Staunton, George",Conservative (1867-1942),"Hamilton, Ontario","Borden, Robert Laird",1917.01.20 - 1940.03.19  (Death),1917-01-20 00:00:00,1940-03-19 00:00:00,Death
261,"Lynch-Staunton, John",Progressive Conservative Party,"Grandville, Quebec","Mulroney, Martin Brian",1990.09.23 - 2005.06.19  (Retirement),1990-09-23 00:00:00,2005-06-19 00:00:00,Retirement
262,"MacArthur, Creelman",Liberal Party of Canada,"Prince, Prince Edward Island","King, William Lyon Mackenzie",1925.09.05 - 1943.12.27  (Death),1925-09-05 00:00:00,1943-12-27 00:00:00,Death
263,"MacDonald, Andrew Archibald",Liberal-Conservative,"Charlottetown, Prince Edward Island","Macdonald, John Alexander",1891.05.11 - 1912.03.21  (Death),1891-05-11 00:00:00,1912-03-21 00:00:00,Death
264,"MacDonald, Finlay",Progressive Conservative Party,"Halifax, Nova Scotia","Mulroney, Martin Brian",1984.12.21 - 1998.01.04  (Retirement),1984-12-21 00:00:00,1998-01-04 00:00:00,Retirement
265,"Macdonald, John",Independent Liberal,"Ontario, Ontario","Macdonald, John Alexander",1887.11.09 - 1890.02.04  (Death),1887-11-09 00:00:00,1890-02-04 00:00:00,Death
266,"Macdonald, John Alexander (1874-1948)",Conservative (1867-1942),"Cardigan, Prince Edward Island","Bennett, Richard Bedford",1935.07.20 - 1948.11.15  (Death),1935-07-20 00:00:00,1948-11-15 00:00:00,Death
267,"Macdonald, John Alexander (1883-1945)",Conservative (1867-1942),"Richmond West-Cape Breton, Nova Scotia","Bennett, Richard Bedford",1932.03.02 - 1945.06.11  (Death),1932-03-02 00:00:00,1945-06-11 00:00:00,Death
268,"MacDonald, John Joseph",Progressive Conservative Party,"Queen's, Prince Edward Island","Diefenbaker, John George",1958.01.27 - 1971.04.20  (Resignation),1958-01-27 00:00:00,1971-04-20 00:00:00,Resignation
269,"Macdonald, John Michael",Progressive Conservative Party,"Cape Breton, Nova Scotia","Diefenbaker, John George",1960.06.24 - 1997.06.20  (Death),1960-06-24 00:00:00,1997-06-20 00:00:00,Death
270,"MacDonald, Michael L.",Conservative Party of Canada,"Cape Breton, Nova Scotia","Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,,
271,"Macdonald, William John",Conservative (1867-1942),"Victoria City, British Columbia","Macdonald, John Alexander",1871.12.13 - 1915.04.13  (Resignation),1871-12-13 00:00:00,1915-04-13 00:00:00,Resignation
272,"Macdonald, William Ross",Liberal Party of Canada,"Brantford, Ontario","St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22  (Resignation),1953-06-12 00:00:00,1967-12-22 00:00:00,Resignation
273,"Macdonell, Angus Claude",Conservative (1867-1942),"Toronto South, Ontario","Borden, Robert Laird",1917.08.01 - 1921.01.01  (Resignation),1917-08-01 00:00:00,1921-01-01 00:00:00,Resignation
274,"Macdonell, Archibald Hayes",Conservative (1867-1942),"Toronto South, Ontario","Meighen, Arthur",1921.11.07 - 1939.11.12  (Death),1921-11-07 00:00:00,1939-11-12 00:00:00,Death
275,"MacEachen, Allan Joseph",Liberal Party of Canada,"Highlands-Canso, Nova Scotia","Trudeau, Pierre Elliott",1984.06.29 - 1996.07.06  (Retirement),1984-06-29 00:00:00,1996-07-06 00:00:00,Retirement
